"year_month","first_two_words","unique_users"
"2024-10","kedro run",594
"2024-10","kedro viz",291
"2024-10","kedro new",287
"2024-10","kedro pipeline",182
"2024-10","kedro jupyter",113
"2024-10","kedro ipython",81
"2024-10","kedro package",31
"2024-11","kedro run",609
"2024-11","kedro viz",284
"2024-11","kedro new",281
"2024-11","kedro pipeline",201
"2024-11","kedro jupyter",102
"2024-11","kedro ipython",94
"2024-11","kedro package",28
"2024-12","kedro run",567
"2024-12","kedro viz",249
"2024-12","kedro new",240
"2024-12","kedro pipeline",151
"2024-12","kedro jupyter",99
"2024-12","kedro ipython",83
"2024-12","kedro package",24
"2025-01","kedro run",665
"2025-01","kedro viz",306
"2025-01","kedro new",284
"2025-01","kedro pipeline",183
"2025-01","kedro jupyter",103
"2025-01","kedro ipython",77
"2025-01","kedro package",28
"2025-02","kedro run",659
"2025-02","kedro viz",300
"2025-02","kedro new",239
"2025-02","kedro pipeline",206
"2025-02","kedro jupyter",109
"2025-02","kedro ipython",82
"2025-02","kedro package",20
"2025-03","kedro run",766
"2025-03","kedro viz",354
"2025-03","kedro new",329
"2025-03","kedro pipeline",255
"2025-03","kedro jupyter",135
"2025-03","kedro ipython",88
"2025-03","kedro package",23
"2025-04","kedro run",809
"2025-04","kedro new",330
"2025-04","kedro viz",316
"2025-04","kedro pipeline",240
"2025-04","kedro jupyter",117
"2025-04","kedro ipython",71
"2025-04","kedro package",18
"2025-05","kedro run",818
"2025-05","kedro viz",368
"2025-05","kedro new",340
"2025-05","kedro pipeline",230
"2025-05","kedro jupyter",100
"2025-05","kedro ipython",75
"2025-05","kedro package",25
"2025-06","kedro run",845
"2025-06","kedro viz",354
"2025-06","kedro new",281
"2025-06","kedro pipeline",229
"2025-06","kedro jupyter",98
"2025-06","kedro ipython",77
"2025-06","kedro package",20
"2025-07","kedro run",868
"2025-07","kedro viz",332
"2025-07","kedro new",302
"2025-07","kedro pipeline",228
"2025-07","kedro jupyter",97
"2025-07","kedro ipython",81
"2025-07","kedro package",26
"2025-08","kedro run",814
"2025-08","kedro new",310
"2025-08","kedro viz",307
"2025-08","kedro pipeline",226
"2025-08","kedro jupyter",96
"2025-08","kedro ipython",85
"2025-08","kedro package",25
"2025-09","kedro run",890
"2025-09","kedro viz",311
"2025-09","kedro new",307
"2025-09","kedro pipeline",274
"2025-09","kedro jupyter",112
"2025-09","kedro ipython",90
"2025-09","kedro package",32
"2025-10","kedro run",925
"2025-10","kedro new",360
"2025-10","kedro viz",319
"2025-10","kedro pipeline",246
"2025-10","kedro jupyter",83
"2025-10","kedro ipython",76
"2025-10","kedro package",34
"2025-11","kedro run",903
"2025-11","kedro new",296
"2025-11","kedro viz",295
"2025-11","kedro pipeline",240
"2025-11","kedro jupyter",89
"2025-11","kedro ipython",79
"2025-11","kedro package",32
"2025-12","kedro run",798
"2025-12","kedro viz",220
"2025-12","kedro new",196
"2025-12","kedro pipeline",168
"2025-12","kedro ipython",76
"2025-12","kedro jupyter",61
"2025-12","kedro package",32
"2026-01","kedro run",791
"2026-01","kedro new",254
"2026-01","kedro viz",253
"2026-01","kedro pipeline",200
"2026-01","kedro ipython",67
"2026-01","kedro jupyter",66
"2026-01","kedro package",35
"2026-02","kedro run",802
"2026-02","kedro viz",262
"2026-02","kedro new",249
"2026-02","kedro pipeline",193
"2026-02","kedro ipython",65
"2026-02","kedro jupyter",58
"2026-02","kedro package",29
"2026-03","kedro run",920
"2026-03","kedro viz",313
"2026-03","kedro new",286
"2026-03","kedro pipeline",237
"2026-03","kedro jupyter",73
"2026-03","kedro ipython",63
"2026-03","kedro package",23
"2026-04","kedro run",933
"2026-04","kedro viz",294
"2026-04","kedro new",279
"2026-04","kedro pipeline",224
"2026-04","kedro jupyter",87
"2026-04","kedro ipython",70
"2026-04","kedro package",17
"2026-05","kedro run",841
"2026-05","kedro viz",263
"2026-05","kedro new",231
"2026-05","kedro pipeline",185
"2026-05","kedro jupyter",71
"2026-05","kedro ipython",40
"2026-05","kedro package",18
"2026-06","kedro run",769
"2026-06","kedro viz",217
"2026-06","kedro new",169
"2026-06","kedro pipeline",154
"2026-06","kedro jupyter",57
"2026-06","kedro ipython",48
"2026-06","kedro package",25
"2026-07","kedro run",635
"2026-07","kedro viz",184
"2026-07","kedro new",147
"2026-07","kedro pipeline",145
"2026-07","kedro ipython",51
"2026-07","kedro jupyter",47
"2026-07","kedro package",18
"2026-08","kedro run",388
"2026-08","kedro viz",89
"2026-08","kedro pipeline",75
"2026-08","kedro new",71
"2026-08","kedro jupyter",26
"2026-08","kedro ipython",21
"2026-08","kedro package",20
